glyph_name,ps_name,sort_order
.notdef,.notdef,1001
.null,.null,1002
nonmarkingreturn,nonmarkingreturn,1003
Ay-beria,u16EA0,2000
Bay-beria,u16EA1,2001
Day-beria,u16EA2,2002
Ey-beria,u16EA3,2003
Effi-beria,u16EA4,2004
Gay-beria,u16EA5,2005
Hay-beria,u16EA6,2006
Iyi-beria,u16EA7,2007
Djay-beria,u16EA8,2008
Key-beria,u16EA9,2009
Elli-beria,u16EAA,2010
Emmi-beria,u16EAB,2011
Enni-beria,u16EAC,2012
Oi-beria,u16EAD,2013
Pi-beria,u16EAE,2014
Erri-beria,u16EAF,2015
Erri-2-beria,u16EB0,2016
Chei-beria,u16EB1,2017
Shep-beria,u16EB2,2018
Tai-beria,u16EB3,2019
Way-beria,u16EB4,2020
Nay-beria,u16EB5,2021
Gna-beria,u16EB6,2022
Yay-beria,u16EB7,2023
Uy-beria,u16EB8,2024
ay-beria,u16EC0,2030
bay-beria,u16EC1,2031
day-beria,u16EC2,2032
ey-beria,u16EC3,2033
effi-beria,u16EC4,2034
gay-beria,u16EC5,2035
hay-beria,u16EC6,2036
iyi-beria,u16EC7,2037
djay-beria,u16EC8,2038
key-beria,u16EC9,2039
elli-beria,u16ECA,2040
emmi-beria,u16ECB,2041
enni-beria,u16ECC,2042
oi-beria,u16ECD,2043
pi-beria,u16ECE,2044
erri-beria,u16ECF,2045
erri-2-beria,u16ED0,2046
chei-beria,u16ED1,2047
shep-beria,u16ED2,2048
tai-beria,u16ED3,2049
way-beria,u16ED4,2050
nay-beria,u16ED5,2051
gna-beria,u16ED6,2052
yay-beria,u16ED7,2053
uy-beria,u16ED8,2054
Ay_acute-beria,uniE400,3010.1
Ay_grave-beria,uniE402,3010.2
Ay_macron-beria,uniE302,3010.3
ay_acute-beria,uniE401,3011.1
ay_grave-beria,uniE403,3011.2
ay_macron-beria,uniE303,3011.3
Ay-beria.alt,uniE300.alt,3011.4
ay-beria.alt,uni0301.alt,3011.5
bay-beria.alt,uniE305.alt,3021.1
day-beria.alt,uniE307.alt,3041.1
Ey_acute-beria,uniE404,3050.1
Ey_grave-beria,uniE406,3050.2
Ey_macron-beria,uniE30A,3050.3
Ey_dot-beria,uniE408,3050.4
ey_acute-beria,uniE405,3051.1
ey_grave-beria,uniE407,3051.2
ey_macron-beria,uniE30B,3051.3
ey_dot-beria,uniE409,3051.4
Ey-beria.alt,uniE308.alt,3051.5
ey-beria.alt,uniE309.alt,3051.6
Archi-beria,uniE442,3070
archi-beria,uniE443,3071
Effi-beria.alt,uniE30C.alt,3081.1
effi-beria.alt,uniE30D.alt,3081.2
