.notdef,FFFF
.null,
nonmarkingreturn,
space,0020
Ey-beria,0045
Effi-beria,0046
Hay-beria,0048
ay-beria,0061
bay-beria,0062
period,002E
shep-beria,0063
day-beria,0064
ey-beria,0065
effi-beria,0066
gay-beria,0067
hay-beria,0068
iyi-beria,0069
djay-beria,006A
key-beria,006B
elli-beria,006C
emmi-beria,006D
enni-beria,006E
oi-beria,006F
pi-beria,0070
erri-beria,0072
erri-2-beria,0071
chei-beria,0073
tai-beria,0074
uy-beria,0075
way-beria,0077
nay-beria,0078
yay-beria,0079
gna-beria,007A
grave-beria,0060
acute-beria,00B4
Gay-beria,0047
Iyi-beria,0049
Djay-beria,004A
Key-beria,004B
Elli-beria,004C
Emmi-beria,004D
Enni-beria,004E
Oi-beria,004F
Pi-beria,0050
Erri-2-beria,0051
Erri-beria,0052
Chei-beria,0053
Tai-beria,0054
Uy-beria,0055
Way-beria,0057
Nay-beria,0058
Yay-beria,0059
Gna-beria,005A
zero,0030
one,0031
two,0032
three,0033
four,0034
five,0035
six,0036
seven,0037
eight,0038
nine,0039
macron-beria,00AF
dot-beria,02D9
Day-beria,0044
comma,002C
semicolon,003B
colon,003A
braceleft,007B
bar,007C
braceright,007D
parenleft,0028
parenright,0029
plus,002B
minus,2212
divide,00F7
Ay_acute-beria,00C1
ay_acute-beria,00E1
Ey_acute-beria,00C9
Ey_dot-beria,0116
iyi_acute-beria,00ED
Oi_acute-beria,00d3
Iyi_acute-beria,00CD
Iyi_dot-beria,0130
Uy_acute-beria,00DA
oi_acute-beria,00F3
ey_acute-beria,00E9
ey_dot-beria,0117
uy_acute-beria,00FA
paragraph,00B6
equal,003D
bracketleft,005B
bracketright,005D
hyphen,002D
endash,2013
emdash,2014
question,003F
exclam,0021
cent,00A2
section,00A7
registered,00AE
copyright,00A9
yen,00A5
sterling,00A3
dollar,0024
percent,0025
bullet,2022
numbersign,0023
less,003C
greater,003E
multiply,00D7
degree,00B0
slash,002F
ampersand,0026
dagger,2020
daggerdbl,2021
trademark,2122
perthousand,2030
Euro,20AC
florin,0192
quotesinglbase,201A
asterisk,002A
quotesingle,0027
quotedbl,0022
fraction,2044
quoteright,2019
quoteleft,2018
quotedblleft,201C
quotedblright,201D
quotedblbase,201E
ellipsis,2026
plusminus,00B1
backslash,005C
underscore,005F
at,0040
guilsinglleft,2039
guilsinglright,203A
guillemotleft,00AB
guillemotright,00BB
asciitilde,007E
logicalnot,00AC
Ay-beria,0041
Ay_grave-beria,00C0
ay_grave-beria,00E0
Ey_grave-beria,00C8
ey_grave-beria,00E8
Iyi_grave-beria,00CC
iyi_grave-beria,00EC
Oi_grave-beria,00D2
oi_grave-beria,00F2
Uy_grave-beria,00D9
uy_grave-beria,00F9
Ey_macron-beria,00CA
approxequal,2248
ay_macron-beria,00E2
Oi_macron-beria,00D4
Uy_macron-beria,00DB
Iyi_macron-beria,00CE
uy_macron-beria,00FB
oi_macron-beria,00F4
Ay_macron-beria,00C2
iyi_macron-beria,00EE
ey_macron-beria,00EA
Bay-beria,0042
Shep-beria,0043
